"id","projectId","bookSeed","bookEraUrl","statusGroup","detailedStatus","currentCanonicalUrl","operator","statusDetail","continuityNote","officialSourceUrls","verified","confidence"
"STATUS-011","PC-0102","EconWPA","http://econwpa.wustl.edu/","ARCHIVED_READ_ONLY","ARCHIVED_READ_ONLY_WITH_SUBMISSION_SUCCESSOR","https://econwpa.ub.uni-muenchen.de/","University Library, Ludwig Maximilian University of Munich; original project at Washington University in St. Louis","EconWPA stopped accepting new work in 2005; its corpus is permanently hosted as a read-only archive by LMU Munich's University Library. MPRA is the named route for new submissions.","Archive moved to LMU Munich. MPRA is explicitly identified on the archive page for new submissions: https://mpra.ub.uni-muenchen.de/.","https://econwpa.ub.uni-muenchen.de/ | https://mpra.ub.uni-muenchen.de/ | https://blog.repec.org/2009/08/ | https://blog.repec.org/2025/02/","2026-07-28","HIGH"
"STATUS-012","PC-0242","Oxford Text Archive","http://ota.ahds.ac.uk/","ACTIVE_AT_NEW_URL","LEGACY_SITE_READ_ONLY; COLLECTION_ACTIVE_AT_NEW_URL","https://llds.ling-phil.ox.ac.uk/","University of Oxford, Faculty of Linguistics, Philology and Phonetics; legacy service at the Bodleian Libraries","The Bodleian OTA site remains online but stopped accepting deposits and is not updated; Oxford's Literary and Linguistic Data Service is the current access and deposit environment for the collections.","Legacy site: https://ota.bodleian.ox.ac.uk/. Current service and collections: https://llds.ling-phil.ox.ac.uk/.","https://ota.bodleian.ox.ac.uk/ | https://llds.ling-phil.ox.ac.uk/ | https://www.clarin.ac.uk/oxford-text-archive","2026-07-28","HIGH"
"STATUS-013","PC-0247","PhilSci Archive","http://philsci-archive.pitt.edu/","ACTIVE","ACTIVE","https://philsci-archive.pitt.edu/","Center for Philosophy of Science, University of Pittsburgh; official archive of the Philosophy of Science Association","The open-access preprint archive remains active and is the official preprint archive of the Philosophy of Science Association.","Same repository at HTTPS.","https://philsci-archive.pitt.edu/ | https://www.centerphilsci.pitt.edu/about-the-center/publications/ | https://www.philsci.org/philsci_archive.php","2026-07-28","HIGH"
"STATUS-014","PC-0212","NELLCO Legal Scholarship Repository","http://lsr.nellco.org","ACTIVE","ACTIVE_LEGACY_COLLECTION","https://lsr.nellco.org/","NELLCO; repository platform originally established with bepress","The Legal Scholarship Repository's records and documents remain available on the legacy Digital Commons-style domain; NELLCO itself remains active.","No verified claim is made that NELLCO's newer Shared Repository Search replaces the Legal Scholarship Repository; record them as separate related services unless NELLCO says otherwise.","https://www.nellco.org/ | https://dashboard.nellcosharedsearch.org/about?locale=en | https://digitalcommons.wcl.american.edu/legalrepositories.html | https://librarytechnology.org/pr/22829/new-england-law-library-consortium-and-the-berkeley-electronic-press-create-legal-scholarship-repository | https://lsr.nellco.org/cgi/viewcontent.cgi?article=1604&context=nyu_plltwp","2026-07-28","MEDIUM_HIGH"
"STATUS-015","PC-0213","Networked Digital Library of Theses and Dissertations (NDLTD)","http://www.ndltd.org/","ACTIVE","ACTIVE_WITH_SEARCH_SERVICE_MOVE","https://ndltd.org/","Networked Digital Library of Theses and Dissertations","NDLTD remains an active international organization. Its current site points users to OATD for Global ETD Search.","Organization remains at NDLTD; discovery entry point is now https://oatd.org/. The former dedicated search endpoint at https://search.ndltd.org/ was unavailable during verification.","https://ndltd.org/ | https://oatd.org/","2026-07-28","HIGH"
"STATUS-016","PC-0251","Portico","http://www.portico.org/","ACTIVE","ACTIVE","https://www.portico.org/","ITHAKA","The community-supported digital preservation service remains active.","Same preservation service at HTTPS; Portico is identified as part of ITHAKA.","https://www.portico.org/ | https://www.ithaka.org/","2026-07-28","HIGH"
"STATUS-017","PC-0179","LOCKSS","http://lockss.stanford.edu/","ACTIVE_AT_NEW_URL","ACTIVE_AT_NEW_URL","https://www.lockss.org/","LOCKSS Program, Stanford Libraries","The distributed digital preservation program remains active.","The Stanford-hosted book-era URL moved to the dedicated lockss.org domain.","https://www.lockss.org/ | https://www.lockss.org/about | https://www.lockss.org/about/history","2026-07-28","HIGH"
"STATUS-018","PC-0207","National Science Digital Library (NSDL)","http://nsdl.org/about/index.php","ACTIVE_AT_NEW_URL","ACTIVE_AT_NEW_URL","https://oercommons.org/hubs/NSDL","Institute for the Study of Knowledge Management in Education (ISKME), through OER Commons","NSDL is available as a current OER Commons hub.","Management transferred from UCAR to ISKME in 2014; the collection now lives in OER Commons.","https://oercommons.org/hubs/NSDL | https://news.ucar.edu/13512/iskme-manage-national-science-digital-library","2026-07-28","HIGH"
"STATUS-019","PC-0082","DLF Aquifer","http://www.diglib.org/aquifer/","ARCHIVED_READ_ONLY","HISTORICAL_ARCHIVED_SITE","https://old.diglib.org/aquifer/","Digital Library Federation","The Digital Library Federation preserves the project site and its 2006-2008 plans and products on its old-site domain; no current Aquifer operating service was verified.","Use the official DLF old-site copy as the archival canonical URL. American Social History Online was a principal project output/new organizational home described in the 2008 prospectus, but its present status was not asserted here.","https://old.diglib.org/aquifer/ | https://old.diglib.org/aquifer/products.htm | https://old.diglib.org/aquifer/AquiferPlan06rev.pdf | https://lists.clir.org/cgi-bin/wa?A3=ind0809&B=--part-1MQC--loVe8F9-0-xG-0-sbAHpnXe-xfUONvAdIzmkFNH&E=base64&L=DLF-ANNOUNCE&N=AquiferProspectus.pdf&P=11280&T=APPLICATION%2FPDF%3B+name%3D%22AquiferProspectus.pdf%22","2026-07-28","MEDIUM_HIGH"
"STATUS-020","PC-0230","Open Content Alliance","http://www.opencontentalliance.org/","BOOK_ONLY_HISTORICAL","HISTORICAL_INITIATIVE; OUTPUTS_PRESERVED","https://archive.org/projects/","Internet Archive administered the multi-organization alliance","Internet Archive's project page describes the Open Content Alliance in the past tense as a collaborative effort; Internet Archive pages preserve the launch record and document the resulting digitization work.","Treat OCA as a historical consortium/initiative. Its digitized outputs and related open-book work remain available through Internet Archive and Open Library; these are outputs/continuations, not asserted as a formally named successor.","https://archive.org/projects/ | https://archive.org/post/44311/open-content-alliance-call-for-participation | https://blog.archive.org/2005/10/ | https://blog.archive.org/2021/04/20/internet-archive-joins-boston-library-consortium/ | https://archive.org/details/texts | https://openlibrary.org/","2026-07-28","MEDIUM_HIGH"
