"id","family","name","directoryRole","definition","bookChapters","printedPages"
"CT-027","Software and science","Free/libre and open-source software commons","Primary type","A software project whose code, participation rules, licenses, and collaborative production constitute a commons.","3, 10","41-82; 277-309"
"CT-028","Software and science","Open-content science commons","Primary type","A proposed or operating science commons applying open-source participation, review, licensing, and versioning to scientific content.","10","286-307"
"CT-029","Software and science","Scientific data commons","Primary type","Shared infrastructure for depositing, accessing, documenting, and reusing scientific datasets.","8, 10, 12","209-245; 277-309; 333-347"
"CT-030","Networks and communities","Collaboratory","Primary type","A networked environment in which geographically distributed participants share data, instruments, tools, and research work.","1, 11","13-20; 321-327"
"CT-031","Networks and communities","Information community","Primary type","A community joined by shared information practices, resources, tools, standards, and stewardship.","11","321-327"
"CT-032","Networks and communities","Federated or distributed library","Primary type","Multiple independent repositories or institutions connected through shared protocols, services, or discovery layers.","3, 7, 11","56-57; 171-173; 321-327"
"CT-033","Networks and communities","Coalition or membership network","Primary type or organizational enabler","A network of institutions or projects coordinating access, policy, preservation, standards, or advocacy.","4, 6, 7, 11","85-121; 145-167; 171-207; 311-331"
"CT-034","Preservation","Organizational archive","Preservation model","An archive housed within the same organization as either the producer or consumer, or contracted to a third party.","6","151-153"
"CT-035","Preservation","Producer archive","Preservation model","An archive maintained by the organization or person producing the content.","6","153-155"
"CT-036","Preservation","Consumer archive","Preservation model","An archive maintained by the institution or community consuming and relying on the content.","6","155-156"
"CT-037","Preservation","Independent third-party archive","Preservation model","A preservation archive institutionally separate from both producer and consumer.","6","151-157"
"CT-038","Preservation","Distributed preservation network","Preservation model","A preservation arrangement using redundant, distributed copies or caches across participating institutions.","4, 6","99-101; 157-163"
"CT-039","Preservation","Dark archive or fallback-access archive","Preservation and access model","A preservation service whose stored materials become accessible only under defined loss, trigger, or continuity conditions.","6","159-163"
"CT-040","Governance and rights","Open licensing infrastructure","Legal and policy enabler","Licenses, registries, declarations, or policy services that define reusable permissions for knowledge resources.","3, 4, 7, 8, 10","50-58; 85-121; 171-207; 209-245; 277-309"
"CT-041","Governance and rights","Standards and interoperability infrastructure","Technical enabler","Shared metadata, identifiers, protocols, interfaces, and technical rules that let independent commons interoperate.","3, 7, 11, 12","56-63; 171-173; 321-327; 338-345"
"CT-042","Analogical baseline","Traditional natural-resource commons","Analogy and analytical lineage","Shared forests, fisheries, pastures, water systems, and other subtractable resources used as the analytical starting point for knowledge commons.","1, 2, 3","3-10; 27-40; 41-47"
"CT-043","Analogical baseline","Public domain","Legal status and surrounding resource pool","Knowledge and cultural material available outside exclusive copyright control, serving as a key resource environment for commons projects.","1, 4, 5, 7, 8","3-25; 85-121; 123-143; 171-207; 209-245"
