"id","canonicalName","aliases","category","relation","bookPortrayal","printedPages","chapterNumber","chapterTitle","evidenceLocation","sourceGroundedRole","bookPrintedUrl","projectId"
"UKC-02-013","Riverkeepers","","environmental advocacy network","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Named river-protection organizations associated with environmental commons.","","PC-0272"
"UKC-02-014","Science and Environmental Health Network","","advocacy network","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Leading champion of the precautionary principle.","","PC-0282"
"UKC-02-015","Tomales Bay Institute","","commons institute","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Co-organized a conference linking commons, public trust, and precaution.","","PC-0309"
"UKC-02-016","Johnson Foundation","","foundation and funder","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Co-organized a conference linking commons, public trust, and precaution.","","PC-0162"
"UKC-02-017","GNU/Linux","GNU Linux","open-source operating system","direct","operating at book date","35","2","The Growth of the Commons Paradigm","narrative","Famous open-source software commons and rival to proprietary operating systems.","","PC-0129"
"UKC-02-018","IBM open-source patent releases","","open patent initiative","example","operating at book date","35","2","The Growth of the Commons Paradigm","narrative","Made software patents available on an open-source basis to spur innovation.","","PC-0143"
"UKC-02-019","Sun Microsystems open-source patent releases","","open patent initiative","example","operating at book date","35","2","The Growth of the Commons Paradigm","narrative","Made software patents available on an open-source basis to spur innovation.","","PC-0302"
"UKC-02-020","Software Freedom Law Center","","legal defense organization","enabler","operating at book date","35","2","The Growth of the Commons Paradigm","narrative","Protects open-source software against litigation.","","PC-0295"
"UKC-02-021","Flickr","","participatory media platform","example","operating at book date","36","2","The Growth of the Commons Paradigm","narrative","Photo-sharing platform cited as participatory media.","","PC-0119"
"UKC-02-022","Ourmedia.org","","participatory media platform","example","operating at book date","36","2","The Growth of the Commons Paradigm","narrative","Platform for sharing creative works of many kinds.","http://Ourmedia.org","PC-0241"
"UKC-02-023","Publicnews.com","","participatory journalism platform","example","operating at book date","36","2","The Growth of the Commons Paradigm","narrative","Platform for public sharing of breaking-news events.","http://Publicnews.com","PC-0265"
"UKC-02-024","del.icio.us","","social-bookmarking platform","example","operating at book date","36","2","The Growth of the Commons Paradigm","narrative","Platform for publicly shared web bookmarks.","","PC-0077"
"UKC-02-025","Wikipedia","","collaborative encyclopedia","direct","operating at book date","36","2","The Growth of the Commons Paradigm","narrative","Open encyclopedia created through broad public contribution.","","PC-0334"
"UKC-02-026","National Institutes of Health open-access policy","","public-access policy","enabler","policy in operation at book date","37","2","The Growth of the Commons Paradigm","narrative","Sought public availability of NIH-funded medical research after journal publication.","","PC-0202"
"UKC-02-027","Creative Commons","","licensing commons","direct","operating at book date","37, 40","2","The Growth of the Commons Paradigm","narrative","Licenses creative works for easier noncommercial sharing and distribution.","http://www.creativecommons.org","PC-0069"
"UKC-02-028","YouTube.com","","participatory media platform","example","operating at book date","37","2","The Growth of the Commons Paradigm","narrative","Online hosting service for sharing grassroots media.","http://YouTube.com","PC-0345"
"UKC-02-029","PC Forum 2005","","technology forum","enabler","completed forum","39","2","The Growth of the Commons Paradigm","note","Forum where metatagging and social software were major themes.","","PC-0243"
"UKC-02-030","SmartMobs","","social-networking blog","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Howard Rheingold's blog discussing social networking and collaborative technology.","http://www.smartmobs.com","PC-0293"
"UKC-02-031","Clay Shirky's blog","","social-networking blog","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Blog discussing social networking and collaborative technology.","http://www.shirky.com","PC-0054"
"UKC-02-032","Corante's Many 2 Many","","social-networking blog","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Group blog discussing social software and networked participation.","http://www.corante.com/many","PC-0066"
"UKC-02-033","Common Property Resource Digest","","commons periodical","enabler","operating at book date","40","2","The Growth of the Commons Paradigm","note","Periodical reporting developments in commons research.","http://www.indiana.edu/~iascp/e-cpr.html","PC-0060"
"UKC-02-034","Open Access News","","news blog and discovery resource","enabler","operating at book date","40","2","The Growth of the Commons Paradigm","note","Peter Suber's current-awareness source for open-access developments.","http://www.earlham.edu/~peters/fos/fosblog.html","PC-0223"
"UKC-03-001","Open Archives Initiative","OAI","interoperability initiative and protocol","enabler","operating at book date","48, 69","3","A Framework for Analyzing the Knowledge Commons","narrative","Community and protocol enabling interoperable repositories and metadata harvesting.","http://www.openarchives.org/community/index.html","PC-0227"
"UKC-03-002","World Summit on the Information Society","WSIS","international policy process","enabler","operating at book date","49, 69","3","A Framework for Analyzing the Knowledge Commons","narrative","Global policymaking community used as an example of nested governance.","http://www.itu.int/wsis/documents/doc_multi.asp?lang=en&id=2266|2267","PC-0340"
"UKC-03-003","Creative Commons","","licensing commons","direct","operating at book date","52-53, 69","3","A Framework for Analyzing the Knowledge Commons","narrative","Flexible licensing service that uses private rights to create public goods.","http://creativecommons.org","PC-0069"
"UKC-03-004","Self-Archiving Initiative","","open-access movement","enabler","operating at book date","53","3","A Framework for Analyzing the Knowledge Commons","narrative","Visible movement encouraging authors to retain rights and provide open access.","","PC-0290"
"UKC-03-005","DSpace","","repository software and institutional repository","direct","operating at book date","56, 64, 70","3","A Framework for Analyzing the Knowledge Commons","narrative","MIT repository platform developed through library and faculty leadership.","http://dspace.org/index.html","PC-0090"
"UKC-03-006","Berlin Declaration","","open-access declaration","enabler","declaration under implementation","56-57, 70","3","A Framework for Analyzing the Knowledge Commons","narrative","Declaration and implementation program supporting repository deposit and OA publishing.","http://www.zim.mpg.de/openaccess-berlin/berlindeclaration.html","PC-0030"
"UKC-03-007","Berlin 3 meeting","","open-access implementation meeting","enabler","completed meeting","56","3","A Framework for Analyzing the Knowledge Commons","narrative","Moved Berlin Declaration support toward institutional implementation.","","PC-0029"
"UKC-03-008","University of Southampton open-archives programme","","institutional open-access program","direct","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Leading institutional program that produced multiple repository and policy tools.","","PC-0323"
"UKC-03-009","Cogprints","","disciplinary repository","direct","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Southampton-created cognitive-science repository.","","PC-0056"
"UKC-03-010","Eprints Open Source Software","","repository software","enabler","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Southampton-created open-source repository platform.","","PC-0109"
"UKC-03-011","Citebase","","citation and discovery service","enabler","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Southampton-created citation discovery and analysis service.","","PC-0052"
"UKC-03-012","Archive Registry","","repository registry","enabler","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Southampton-created registry of archives.","","PC-0017"
"UKC-03-013","Policy Registry","","policy registry","enabler","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Southampton-created registry of open-access policies.","","PC-0250"
"UKC-03-014","Journal Policy Directory","","journal-policy directory","enabler","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Southampton-created directory of journal self-archiving policies.","","PC-0164"
"UKC-03-015","Registry of Institutional OA Self-Archiving Policies","","policy registry","enabler","operating at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Registry used by institutions implementing the Berlin Declaration.","","PC-0269"
"UKC-03-016","UK Recommendation","","open-access policy recommendation","enabler","recommendation","57, 70","3","A Framework for Analyzing the Knowledge Commons","narrative","Policy recommendation modeled on Southampton's self-archiving program.","http://www.ecs.soton.ac.uk/~harnad/Temp/UKSTC.htm","PC-0314"
"UKC-03-017","KU ScholarWorks","","institutional repository","direct","operating at book date","57, 70","3","A Framework for Analyzing the Knowledge Commons","narrative","University of Kansas repository populated under an institutional OA endorsement.","https://kuscholarworks.ku.edu/dspace/","PC-0166"
"UKC-03-018","University of Minho open-access requirement","","institutional OA policy","example","policy in operation at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Institutional policy requiring self-archiving.","","PC-0321"
"UKC-03-019","Dutch universities open-access requirements","","institutional OA policies","example","policies in operation at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","Twelve universities with OA requirement policies.","","PC-0091"
"UKC-03-020","Max Planck Society open-access requirements","","institutional OA policies","example","policies in operation at book date","57","3","A Framework for Analyzing the Knowledge Commons","narrative","OA requirement policies spanning the Society's institutes.","","PC-0185"
"UKC-03-021","Digital Library of the Commons","DLC","epistemic repository","direct","operating at book date","59, 70","3","A Framework for Analyzing the Knowledge Commons","narrative","Staff-mediated interdisciplinary repository for commons scholarship.","http://dlc.dlib.indiana.edu","PC-0083"
"UKC-03-022","Comprehensive Bibliography of the Commons","","specialist bibliography","direct","operating at book date","69","3","A Framework for Analyzing the Knowledge Commons","note","Searchable commons bibliography used to locate rules research.","http://dlc.dlib.indiana.edu/cpr/index.php","PC-0061"
"UKC-03-023","Open Citation Project","","open-access impact research project","enabler","operating at book date","69-70","3","A Framework for Analyzing the Knowledge Commons","note","Maintains a bibliography of visibility, usage, and citation-impact studies.","http://opcit.eprints.org/oacitation-biblio.html","PC-0229"
"UKC-03-024","OAIster","","metadata aggregation and discovery service","enabler","operating at book date","70","3","A Framework for Analyzing the Knowledge Commons","note","Harvests repository metadata from hundreds of institutions.","http://oaister.umdl.umich.edu/o/oaister/","PC-0218"
"UKC-03-025","Science Citation Index","","citation index","analogy","operating at book date","69","3","A Framework for Analyzing the Knowledge Commons","note","Commercial/global journal index used to show developing-country visibility gaps.","","PC-0283"
"UKC-04-001","Dialog","","commercial bibliographic database","analogy","historical operating system","87","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Lockheed indexing system used to trace government-supported information privatization.","","PC-0079"
"UKC-04-002","Federal Depository Library Program","","government-information distribution network","direct","operating at book date","87","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Public distribution and preservation channel for government publications.","","PC-0117"
"UKC-04-003","Lexis/Nexis","","commercial information database","analogy","operating at book date","88","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Licensed database illustrating restrictions on use, lending, and preservation.","","PC-0168"
"UKC-04-004","ScienceDirect","Science Direct","commercial journal database","analogy","operating at book date","88","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Licensed database illustrating restrictions on use, lending, and preservation.","","PC-0285"
"UKC-04-005","Nuclear Physics","","subscription journal","analogy","operating at book date","88","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","High-priced commercial journal used to illustrate enclosure.","","PC-0216"
"UKC-04-006","Brain Research","","subscription journal","analogy","operating at book date","88","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","High-priced commercial journal used to illustrate enclosure.","","PC-0038"
"UKC-04-007","Tetrahedron Letters","","subscription journal","analogy","operating at book date","88","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","High-priced commercial journal used to illustrate enclosure.","","PC-0304"
"UKC-04-008","Scholarly Publishing and Academic Resources Coalition","SPARC","scholarly-communication coalition","enabler","operating at book date","95-96, 102, 113, 117-118, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Incubates lower-cost publishing alternatives and advocates scholarly-communication reform.","","PC-0278"
"UKC-04-009","AnthroSource","","disciplinary portal and digital collection","direct","operating at book date","95-96, 117","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","American Anthropological Association portal providing online anthropology resources.","","PC-0015"
"UKC-04-010","AnthroCommons","","disciplinary portal","direct","operating at book date","95","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Companion commons portal designed around anthropologists' work practices.","","PC-0014"
"UKC-04-011","American Anthropological Association","AAA","scholarly association and project steward","enabler","operating at book date","95-96","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Governed and supplied the professional community for AnthroSource and AnthroCommons.","","PC-0006"
"UKC-04-012","University of California Press","","scholarly publisher and project partner","enabler","operating at book date","96","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Collaborated with the AAA on the AnthroSource portal.","","PC-0319"
"UKC-04-013","Andrew W. Mellon Foundation","","foundation and funder","enabler","operating at book date","96, 100, 107","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Funded AnthroSource and the Portico and LOCKSS preservation prototypes.","","PC-0013"
"UKC-04-014","SPARC Open Access Newsletter","","newsletter and advocacy resource","enabler","operating at book date","96, 118","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Open-access news and advocacy newsletter edited by Peter Suber.","http://www.earlham.edu/~peters/fos/","PC-0299"
"UKC-04-015","Budapest Open Access Initiative","BOAI","open-access initiative","direct","operating at book date","96, 118","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Provides OA leadership, software, technical standards, funding, and business-planning guidance.","http://www.soros.org/openaccess/","PC-0039"
"UKC-04-016","Open Society Institute","Soros Foundation's Open Society Institute","foundation and open-access enabler","enabler","operating at book date","96, 107","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Created the Budapest Open Access Initiative and supplied funding and assistance to open-access journals.","","PC-0234"
"UKC-04-017","Cell Biology Education","","open-access journal","example","operating at book date","96","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Named example among operating open-access journals.","","PC-0043"
"UKC-04-018","Journal of Arabic and Islamic Studies","","open-access journal","example","operating at book date","96","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Named example among operating open-access journals.","","PC-0163"
"UKC-04-019","The New England Journal of Political Science","","open-access journal","example","operating at book date","96","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Named example among operating open-access journals.","","PC-0306"
"UKC-04-020","BioMed Central","BMC","open-access publisher and journal platform","direct","operating at book date","96, 107, 121","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Peer-reviewed scientific OA publisher using author fees, advertising, and institutional support.","","PC-0033"
"UKC-04-021","Public Library of Science","PLoS","open-access publisher","direct","operating at book date","96, 118","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Nonprofit scientific publishing initiative established around open access.","http://www.plos.org/","PC-0263"
"UKC-04-022","Gordon and Betty Moore Foundation","","foundation and funder","enabler","operating at book date","96","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Supplied the founding grant for the Public Library of Science.","","PC-0134"
"UKC-04-023","PLoS Biology","","open-access journal","direct","operating at book date","96","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","First PLoS open-access journal.","","PC-0249"
"UKC-04-024","BioOne","","open-access publishing partnership","direct","operating at book date","96-97","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Partnership among scientific societies, academe, commerce, and libraries.","","PC-0035"
"UKC-04-025","National Institutes of Health public-access archive policy","","public-access policy","enabler","policy in operation at book date","97","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Supports deposit of accepted NIH-funded manuscripts in PubMed Central.","","PC-0203"
"UKC-04-026","PubMed Central","","full-text biomedical archive","direct","operating at book date","97","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","National Library of Medicine archive for NIH-supported manuscripts.","","PC-0267"
"UKC-04-027","National Library of Medicine","NLM","national biomedical library","enabler","operating at book date","97","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Operates PubMed Central as the archive for NIH-supported manuscripts.","","PC-0206"
"UKC-04-028","Open Archives Initiative","OAI","interoperability initiative and protocol","enabler","operating at book date","97, 118","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Low-barrier repository interoperability and metadata dissemination initiative.","http://www.openarchives.org/","PC-0227"
"UKC-04-029","DSpace","","repository software and institutional repository","direct","operating at book date","97, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","MIT open-source platform for capture, discovery, distribution, and preservation.","http://www.dspace.org/","PC-0090"
"UKC-04-030","Hewlett-Packard","Hewlett-Packard Labs","technology company and project funder","enabler","operating at book date","97","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Funded the launch of DSpace as an open-source repository platform.","","PC-0138"
"UKC-04-031","Érudit","","institutional digital repository","direct","operating at book date","97, 118","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","University of Montreal digital repository.","http://www.erudit.org","PC-0111"
"UKC-04-032","eScholarship","","institutional repository and publishing platform","direct","operating at book date","97, 118","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","University of California Digital Library repository.","http://repositories.cdlib.org/escholarship/","PC-0112"
"UKC-04-033","University of California Digital Library","California Digital Library","digital library system","enabler","operating at book date","97","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Sponsors the eScholarship institutional repository.","","PC-0318"
"UKC-04-034","Institutional Repository of Utrecht University","DISPUTE","institutional repository","direct","operating at book date","97, 118","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Utrecht University repository cited as a federated DSpace-like system.","http://dispute.library.uu.nl/","PC-0150"
"UKC-04-035","Coalition for Networked Information","CNI","network and coalition","enabler","operating at book date","97","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Networked-information organization whose director frames institutional repositories.","","PC-0055"
"UKC-04-036","Los Alamos ArXiv.org","arXiv.org | Los Alamos e-Print Archive","disciplinary e-print archive","direct","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Physics and related-science preprint archive maintained by Cornell.","http://www.arxiv.org/","PC-0180"
"UKC-04-037","Cornell University Libraries","","research-library repository steward","enabler","operating at book date","98","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Maintains the arXiv e-print archive.","","PC-0067"
"UKC-04-038","EconWPA","","disciplinary repository","direct","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Economics working-paper archive.","http://econwpa.wustl.edu/","PC-0102"
"UKC-04-039","Oxford Text Archive","","disciplinary text archive","direct","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Digital text archive for disciplinary research.","http://ota.ahds.ac.uk/","PC-0242"
"UKC-04-040","PhilSci Archive","PhilSci-Archive","disciplinary repository","direct","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Philosophy-of-science repository.","http://philsci-archive.pitt.edu/","PC-0247"
"UKC-04-041","NELLCO Legal Scholarship Repository","","disciplinary repository","direct","operating at book date","119","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Legal-scholarship repository named in the repository survey.","http://lsr.nellco.org","PC-0212"
"UKC-04-042","Networked Digital Library of Theses and Dissertations","NDLTD","digital library and repository network","direct","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Networked repository for electronic theses and dissertations.","http://www.ndltd.org/","PC-0213"
"UKC-04-043","Conservation Commons","","disciplinary knowledge commons","direct","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Conservation knowledge repository and commons.","http://www.conservationcommons.org","PC-0064"
"UKC-04-044","Digital Library of the Commons","DLC","disciplinary digital library","direct","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Interdisciplinary commons research repository.","http://dlc.dlib.indiana.edu/","PC-0083"
"UKC-04-045","RoMEO Project","Project RoMEO","publisher-policy research project","enabler","operating at book date","98, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Researches journal permissions for author self-archiving.","http://www.lboro.ac.uk/departments/ls/disresearch/romeo/","PC-0273"
"UKC-04-046","EPrints.org","","repository software and self-archiving resource","enabler","operating at book date","119","4","Countering Enclosure: Reclaiming the Knowledge Commons","note","Self-archiving and open-archives software resource.","http://www.eprints.org/","PC-0110"
"UKC-04-047","Google Print","","mass-digitization and discovery project","analogy","operating at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Library digitization partnership challenged on copyright grounds.","","PC-0131"
"UKC-04-048","Amazon pay-per-view full-text program","","commercial digital-book service","analogy","operating at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Commercial proposal for licensed full-text access.","","PC-0004"
"UKC-04-049","Random House pay-per-view full-text program","","commercial digital-book service","analogy","operating at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Commercial proposal for licensed full-text access.","","PC-0268"
"UKC-04-050","Microsoft pay-per-view full-text program","","commercial digital-book service","analogy","operating at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Commercial proposal for licensed full-text access.","","PC-0191"
"UKC-04-051","Open Content Alliance","OCA","collaborative digital-library initiative","direct","operating at book date","99, 119","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Multi-sector partnership providing universal access to public-domain and open collections.","http://www.opencontentalliance.org/","PC-0230"
"UKC-04-052","Internet Archive","","web archive and project founder","enabler","operating at book date","99","4","Countering Enclosure: Reclaiming the Knowledge Commons","narrative","Established the Open Content Alliance and convened its multi-sector partners.","","PC-0154"
