research_id,title,start_date,end_date,time,city,venue,category,language,recurrence,audience,confirmation_status,dedup_status,dedup_best_score,dedup_best_title,dedup_best_date,recommended_action,source_registry_status,harvest_priority,source_name,source_url,source_ref,notes,researched_at
e01960267910,Gananoque Craft Market,2026-07-25,2026-09-26,,Gananoque,,market,,,public,confirmed,new-candidate,0.507,Pan in D' Park,2026-08-02,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,Weekly,2026-07-21
49b8d056b4a8,Thousand Islands Bark Bash,2026-07-25,,,Gananoque,,festival,,,public,confirmed,new-candidate,0.524,AGO Art Bash,2026-09-24,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
819435abeb91,Mixed Tapes,2026-08-01,2026-08-02,,Gananoque,,music/performance,,,public,confirmed,new-candidate,0.502,Mississauga ItalFest,2026-08-21,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
3cd2d5068781,The Last Five Years,2026-08-04,2026-08-30,,Gananoque,,theatre,,,public,confirmed,new-candidate,0.52,Transfers,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
6321af10e335,1000 Islands Celtic Roots Festival,2026-08-14,2026-08-15,,Gananoque,,festival,,,public,confirmed,new-candidate,0.573,Japan Festival Canada 2026 (JFC 2026),2026-08-14,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
fde1b9ea24be,MG103Fest,2026-08-16,,,Gananoque,,festival,,,public,confirmed,new-candidate,0.491,AFROFEST 2026,2026-08-14,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
75d1d1466278,Rockport Live Music,2026-08-19,,,Gananoque,,concert,,,public,confirmed,new-candidate,0.536,The Karate Kid – The Musical,2026-09-29,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
e7069225b274,Free Waterfront Concert: Odds,2026-08-22,,,Gananoque,,concert,,,public,confirmed,new-candidate,0.574,Elf in Concert,2026-12-03,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
d7d56f744912,Murder at Ackerton Manor,2026-08-25,2026-09-13,,Gananoque,,theatre,,,public,confirmed,new-candidate,0.515,Diverse Minds Manitoba,2027-06-10,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
3b732048dade,Back to the 80s,2026-08-28,2026-08-29,,Gananoque,,music festival,,,public,confirmed,new-candidate,0.494,Raptors,2026-12-19,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
a52b2874cd7a,Gananoque Horticultural Society Flower and Vegetable Show,2026-09-09,,,Gananoque,,exhibition,,,public,confirmed,new-candidate,0.497,Metaphysical Society of America 2027 Meeting,2026-09-01,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
ff0cf35bd2c2,Big River Country Festival,2026-09-10,2026-09-12,,Gananoque,,festival,,,public,confirmed,new-candidate,0.588,Mississauga Latin Festival,2026-08-07,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
7c861d0af602,Wonderful Joe,2026-09-10,2026-10-04,,Gananoque,,theatre,,,public,confirmed,new-candidate,0.455,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
dbebe49f8136,Floral Design Workshop,2026-09-21,,,Gananoque,,workshop,,,public,confirmed,new-candidate,0.441,Petrushka & Passions of Spain,2026-10-01,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
5e433982f866,Come From Away,2026-09-22,2026-11-01,,Gananoque,,theatre,,,public,confirmed,new-candidate,0.524,Ron James: The View From Here,2026-10-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
d976f166f0b3,Women in Fire,2026-10-03,,,Gananoque,,public event,,,public,confirmed,new-candidate,0.55,Emergence & Silent Screen,2026-11-13,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
58b184dba364,C'ArtP Mazes,2026-10-04,2026-10-07,,Gananoque,,arts event,,,public,confirmed,new-candidate,0.633,AGO Art Bash,2026-09-24,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
5ef39a88324d,GHS Speaker Series: Local and Tropical Orchids,2026-10-14,,,Gananoque,,public lecture,,,public,confirmed,new-candidate,0.53,"HASTAC opportunities and CFP scan, projected",2026-10-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
8e1b815876b0,GHS Speaker Series: Community Level Ecology,2026-11-11,,,Gananoque,,public lecture,,,public,confirmed,new-candidate,0.56,"Hermann Weber Conference 9th, Communist Regimes and the World Economy",2026-10-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,,2026-07-21
bfa53ad14a21,Gananoque Free Waterfront Concert Series,2026-07-24,2026-08-29,,Gananoque,,concert series,,Multiple dates Jul. 24–Aug. 29,public,confirmed,new-candidate,0.613,Soulpepper Fringe Encore Series,2026-09-26,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/arts-culture-and-events/waterfront-concert-series,turn952940search8,,2026-07-21
01d4bd827f3c,Council Meeting,2026-08-12,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.663,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
d70221231406,Council Meeting,2026-09-16,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.583,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
1c0aa0354759,Council Meeting,2026-10-07,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.583,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
8ceb17e16054,Special Open Council Meeting,2026-10-14,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.595,"Association for Law, Property, and Society 2027 Meeting",2026-11-30,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
2d612dc76ee2,Council Meeting,2026-10-21,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.583,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
2beeee52e996,Council Meeting,2026-11-04,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.583,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
e49da132b73e,Special Open Council Meeting,2026-11-16,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.595,"Association for Law, Property, and Society 2027 Meeting",2026-11-30,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
eeeccbedc820,Council Meeting,2026-11-18,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.583,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
90f1db761a49,Council Meeting,2026-12-02,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.583,Le Concierge,2026-08-11,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
ad01156d4ea6,Council Meeting,2026-12-16,,,Gananoque,,civic meeting,,,public,confirmed,new-candidate,0.605,"CHCI annual meeting proposals, projected",2026-12-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search4,,2026-07-21
6cbb63057d05,Committee of the Whole / Public Meeting,2026-07-28,,,Gananoque,,public meeting,,,public,confirmed,new-candidate,0.538,Association of American Law Schools 2027 Annual Meeting,2026-08-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search7,,2026-07-21
04d92240a8bd,Committee of the Whole / Public Meeting,2026-08-25,,,Gananoque,,public meeting,,,public,confirmed,new-candidate,0.538,Association of American Law Schools 2027 Annual Meeting,2026-08-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search7,,2026-07-21
5e21b9113546,Committee of the Whole / Public Meeting,2026-09-22,,,Gananoque,,public meeting,,,public,confirmed,new-candidate,0.538,Association of American Law Schools 2027 Annual Meeting,2026-08-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search7,,2026-07-21
92ee26b585f9,Committee of the Whole / Public Meeting,2026-10-27,,,Gananoque,,public meeting,,,public,confirmed,new-candidate,0.538,Association of American Law Schools 2027 Annual Meeting,2026-08-15,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/town-hall/council-meetings,turn952940search7,,2026-07-21
abc7c5356490,Tuner,2026-07-22,,,Brockville,,film/performance,,,public,confirmed,new-candidate,0.571,Transfers,2026-08-11,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
8913b1b4bc61,Obsession,2026-07-23,2026-07-24,,Brockville,,film/performance,,,public,confirmed,new-candidate,0.45,"ICMA-sponsored session, CAA 2028",2027-02-01,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
5b9edd106350,Whiskey Glasses,2026-07-25,,,Brockville,,concert,,,public,confirmed,new-candidate,0.471,Indigenous Arts and Stories,2027-03-31,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
59466e618aa4,Brass Transit,2026-08-01,,,Brockville,,concert,,,public,confirmed,new-candidate,0.507,Diverse Minds Manitoba,2027-06-10,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
5a65e863ea5b,Dreamer,2026-08-08,,,Brockville,,concert,,,public,confirmed,new-candidate,0.521,Parfumerie,2026-11-18,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
38d65dfb4a24,Destroyer,2026-09-12,,,Brockville,,concert,,,public,confirmed,new-candidate,0.45,Wildlife Photographer of the Year,2026-11-21,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
cbb6bf28a6a1,Jeff Leeson,2026-09-19,,,Brockville,,comedy,,,public,confirmed,new-candidate,0.508,Wine in the Wilderness (Childress),2026-09-19,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
0fdd132ebff8,Grace 2,2026-09-25,,,Brockville,,concert,,,public,confirmed,new-candidate,0.545,"Verge, Studies in Global Asias 14.2",2026-09-30,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
b1efbfd21dae,Seven Drunken Nights,2026-09-26,,,Brockville,,theatre/music,,,public,confirmed,new-candidate,0.494,Spring Awakening,2026-09-10,add-after-final-source-check,registered-domain-only,P0,Brockville Arts Centre,https://brockvilleartscentre.com/events/,turn391560search0,,2026-07-21
7ba4891c4e37,RJ and Joni,2026-07-21,2026-08-08,,Brockville,,theatre/music,,,public,confirmed,new-candidate,0.407,The Elixir of Love (Donizetti),2027-05-08,add-after-final-source-check,new-source,P0,Brockville Tourism,https://brockvilletourism.com/events/,turn391560search1,,2026-07-21
389d2dc44e2c,Twilight Tuesday Makers Market,2026-07-21,,,Brockville,,market,,,public,confirmed,new-candidate,0.485,Goodnight Desdemona (Good Morning Juliet),2026-11-06,add-after-final-source-check,new-source,P0,Brockville Tourism,https://brockvilletourism.com/events/,turn391560search1,,2026-07-21
60f696022067,Spotlight Series: JOSIAH,2026-07-21,,,Brockville,,concert,,,public,confirmed,new-candidate,0.49,TD Kitchener Blues Festival 2026,2026-08-06,add-after-final-source-check,new-source,P0,Brockville Tourism,https://brockvilletourism.com/events/,turn391560search1,,2026-07-21
ec70df7f5d2c,Music on the Veranda,2026-07-22,2026-08-26,,Brockville,,concert series,,,public,confirmed,new-candidate,0.457,VELD Music Festival 2026,2026-07-31,add-after-final-source-check,new-source,P0,Brockville Tourism,https://brockvilletourism.com/events/,turn391560search1,,2026-07-21
89552e371ef4,Movies in the Park,2026-07-23,2026-08-27,,Brockville,,screening series,,,public,confirmed,new-candidate,0.683,Pan in D' Park,2026-08-02,add-after-final-source-check,new-source,P0,Brockville Tourism,https://brockvilletourism.com/events/,turn391560search1,,2026-07-21
9fe89c026df3,Eastern Ontario Vintage Paper Show,2026-08-29,,,Brockville,,exhibition/market,,,public,confirmed,new-candidate,0.463,Scholastic Art and Writing Awards,2026-12-15,add-after-final-source-check,new-source,P0,Brockville Tourism,https://brockvilletourism.com/events/,turn391560search1,,2026-07-21
a26c804a82fd,Doors Open Thousand Islands,2026-09-18,,,Brockville,,heritage event,,,public,confirmed,new-candidate,0.465,"MLA 2027 Convention, just-in-time sessions",2026-09-18,add-after-final-source-check,new-source,P0,Brockville Tourism,https://brockvilletourism.com/events/,turn391560search1,,2026-07-21
cbbb999a2e74,Edwardian Fashion Show,2026-09-12,,,Brockville,,heritage/performance,,,public,confirmed,new-candidate,0.569,Brian Groombridge (first AGO solo exhibition),2026-09-12,add-after-final-source-check,new-source,P0,Fulford Place,https://www.heritagetrust.on.ca/places-to-visit/fulford-place,turn391560search14,,2026-07-21
e50a14be3bf4,Fulford Place Ghost Tours,2026-10-03,2026-10-31,,Brockville,,heritage tour,,,public,confirmed,new-candidate,0.508,Saks Afridi: SpaceMosque,2026-10-24,add-after-final-source-check,new-source,P0,Fulford Place,https://www.heritagetrust.on.ca/places-to-visit/fulford-place,turn391560search14,,2026-07-21
fb4f10257bae,Fulford Place Christmas Open House,2026-11-29,,,Brockville,,heritage/community,,,public,confirmed,new-candidate,0.585,The Nightmare Before Christmas in Concert,2026-10-17,add-after-final-source-check,new-source,P0,Fulford Place,https://www.heritagetrust.on.ca/places-to-visit/fulford-place,turn391560search14,,2026-07-21
f781ab724873,Fulford Place Candlelight Tours,2026-12-04,2026-12-12,,Brockville,,heritage tour,,,public,confirmed,new-candidate,0.497,The Nutcracker (Kudelka),2026-12-05,add-after-final-source-check,new-source,P0,Fulford Place,https://www.heritagetrust.on.ca/places-to-visit/fulford-place,turn391560search14,,2026-07-21
22166d4682e1,Brockville Rescheduled Fireworks,2026-08-02,,21:45,Brockville,,civic celebration,,,public,confirmed,new-candidate,0.467,Pan in D' Park,2026-08-02,add-after-final-source-check,new-source,P3,City of Brockville,https://brockvilletourism.com/events/,turn391560search19,,2026-07-21
98255ae252bf,River Institute iNaturalist Workshop,2026-07-22,,,Cornwall,,workshop/science,,,public,confirmed,new-candidate,0.564,Fraser Institute Student Essay Contest,2027-06-08,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
9089b3cb221e,Cornwall Public Library Board Meeting,2026-07-22,,,Cornwall,,public meeting,,,public,confirmed,new-candidate,0.657,Hamilton Public Library Power of the Pen,2026-09-30,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
915172dab641,Yarn Lovers,2026-07-22,,,Cornwall,,community craft,,,public,confirmed,new-candidate,0.526,AFROFEST 2026,2026-08-14,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
4ec19123da2f,Campfire Stories,2026-07-22,,,Cornwall,,storytelling,,,public,confirmed,new-candidate,0.572,Raptors,2026-12-19,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
7437a654ebac,Scrabble Club,2026-07-23,,,Cornwall,,community gathering,,,public,confirmed,new-candidate,0.437,The Karate Kid – The Musical,2026-09-29,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
3b945fc682ee,Un-Blank the Page Writing Group,2026-07-23,,,Cornwall,,writing group,,,public,confirmed,new-candidate,0.55,Scholastic Art and Writing Awards,2026-12-15,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
4283784e4b96,Adult Craft,2026-07-24,,,Cornwall,,workshop,,,public,confirmed,new-candidate,0.45,Romeo and Juliet (Cranko / Prokofiev),2026-10-31,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
bcd31cf9f379,Puppet Show,2026-07-25,,,Cornwall,,performance,,,public,confirmed,new-candidate,0.491,OCPA Calypso Showcase (Caribana),2026-07-25,add-after-final-source-check,registered-domain-only,P0,Cornwall Public Library,https://www.library.cornwall.on.ca/en/programs-and-events/events-calendar,turn234734search0,,2026-07-21
01b1327cbc43,Cornwall Ribfest,2026-07-23,2026-07-26,,Cornwall,,festival,,,public,confirmed,new-candidate,0.529,Toronto Buskerfest 2026,2026-09-04,add-after-final-source-check,new-source,P0,Cornwall Tourism / City of Cornwall,https://cornwalltourism.com/events/,turn912955search1,,2026-07-21
