"id","canonicalName","aliases","candidateTier","scope","bookRelations","bookCategories","bookPortrayal","mentionCount","chapters","printedPageReferences","bookPrintedUrls","sourceGroundedRoles","currentStatusGroup","detailedStatus","currentCanonicalUrl","currentOperator","currentStatusEvidence","verified","confidence","verificationSourceUrls","discoveryGeneration","directoryDecision","editorialNotes","mentionIds"
"PC-0039","Budapest Open Access Initiative","BOAI","Core candidate","Commons Projects","direct","open-access initiative","operating at book date","3","4, 5, 7","Ch. 4, pp. 96, 118 | Ch. 5, pp. 136, 142 | Ch. 7, pp. 171, 198","http://www.soros.org/openaccess/ | http://www.soros.org/openaccess/read.shtml","Provides OA leadership, software, technical standards, funding, and business-planning guidance. | Articulates worldwide free distribution of peer-reviewed research. | Defines OA and supplies a movement-wide statement of permitted uses.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-015 | UKC-05-018 | UKC-07-001"
"PC-0040","California Digital Library","","Core candidate","Commons Projects","direct","digital library system","operating at book date","1","11","Ch. 11, pp. 322","","Institutional digital-library and repository service.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-016"
"PC-0041","Campaign for the Civic Mission of Schools","","Support node","Supporting Ecosystem","enabler","civic education campaign","operating at book date","1","0","Ch. 0, pp. xi","","School civic-mission campaign chaired by Peter Levine.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-010"
"PC-0042","Campus Compact","","Support node","Supporting Ecosystem","enabler","civic-university network","operating at book date","1","9","Ch. 9, pp. 272","","Network hosting the Wingspread Declaration.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-022"
"PC-0043","Cell Biology Education","","Example candidate","Commons Projects","example","open-access journal","operating at book date","1","4","Ch. 4, pp. 96","","Named example among operating open-access journals.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-017"
"PC-0044","Center for Democracy and Citizenship","","Support node","Supporting Ecosystem","enabler","civic research center","operating at book date","1","9","Ch. 9, pp. 274","","University of Minnesota center supporting public-work theory and practice.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-027"
"PC-0045","Center for Democracy and Technology","","Support node","Supporting Ecosystem","enabler","public-interest organization","operating at book date","1","4","Ch. 4, pp. 114","http://www.cdt.org/copyright/031216broadcastflag.pdf","Produced a public-interest primer on broadcast-flag enclosure.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-082"
"PC-0046","Center for the Public Domain","","Support node","Supporting Ecosystem","enabler","foundation and public-domain center","operating at book date","1","4","Ch. 4, pp. 103","","Provided support for Creative Commons.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-073"
"PC-0047","Center for the Study of Institutions, Population, and Environmental Change","CIPEC","Support node","Supporting Ecosystem","enabler","research center","operating at book date","2","0, 9","Ch. 0, pp. xii | Ch. 9, pp. 273","","Indiana University center supporting institutional and environmental commons research. | Research center producing field-based commons datasets.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-012 | UKC-09-025"
"PC-0048","Center for the Study of the Public Domain","","Support node","Supporting Ecosystem","enabler","research center","operating at book date","1","0","Ch. 0, pp. xi","","Duke center represented by James Boyle in the workshop network.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-007"
"PC-0049","Child Trends Databank","","Support node","Supporting Ecosystem","enabler","social-data resource","operating at book date","1","9","Ch. 9, pp. 271","http://www.childtrendsdatabank.org/","Online databank used for youth civic and religious-participation evidence.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-016"
"PC-0050","CIRCLE","Center for Information and Research on Civic Learning and Engagement","Support node","Supporting Ecosystem","enabler","civic research center","operating at book date","1","9","Ch. 9, pp. 268, 272, 275","http://www.civicyouth.org","Civic-learning research center connected to project leadership and civic-health data.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-013"
"PC-0051","CIRCLE, The Center for Information and Research on Civic Learning and Engagement","CIRCLE","Support node","Supporting Ecosystem","enabler","civic research center","operating at book date","1","0","Ch. 0, pp. xi","","Civic-learning research center represented by Peter Levine.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-008"
"PC-0052","Citebase","","Support node","Supporting Ecosystem","enabler","citation and discovery service","operating at book date","1","3","Ch. 3, pp. 57","","Southampton-created citation discovery and analysis service.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-011"
"PC-0053","Civic Extension for the Information Age","","Support node","Supporting Ecosystem","enabler","civic knowledge strategy","operating at book date","1","9","Ch. 9, pp. 269-270","http://www.si.umich.edu/~presnick/papers/civicextension/","White-paper strategy for university-supported public knowledge infrastructure.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-015"
"PC-0054","Clay Shirky's blog","","Support node","Supporting Ecosystem","enabler","social-networking blog","operating at book date","1","2","Ch. 2, pp. 39","http://www.shirky.com","Blog discussing social networking and collaborative technology.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-031"
"PC-0055","Coalition for Networked Information","CNI","Support node","Supporting Ecosystem","enabler","network and coalition","operating at book date","2","0, 4","Ch. 0, pp. xii | Ch. 4, pp. 97","","Networked-information coalition represented by Clifford Lynch. | Networked-information organization whose director frames institutional repositories.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-011 | UKC-04-035"
"PC-0056","Cogprints","","Core candidate","Commons Projects","direct","disciplinary repository","operating at book date","1","3","Ch. 3, pp. 57","","Southampton-created cognitive-science repository.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-009"
"PC-0057","Commission on Preservation and Access","","Support node","Supporting Ecosystem","enabler","preservation organization","operating at book date","1","6","Ch. 6, pp. 167","","Co-sponsored the digital-archiving task force.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-06-017"
"PC-0058","Committee on Institutional Cooperation","CIC","Support node","Supporting Ecosystem","enabler","university consortium","operating at book date","1","4","Ch. 4, pp. 108","","Recommended interinstitutional strategies for scholarly-communication reform.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-074"
"PC-0059","Common Information Environment Group","","Core candidate","Commons Projects","direct","public-sector information consortium","forming at book date","1","4","Ch. 4, pp. 99, 120","","United Kingdom consortium intended to serve a broad learner audience.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-055"
"PC-0060","Common Property Resource Digest","","Support node","Supporting Ecosystem","enabler","commons periodical","operating at book date","1","2","Ch. 2, pp. 40","http://www.indiana.edu/~iascp/e-cpr.html","Periodical reporting developments in commons research.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-033"
"PC-0061","Comprehensive Bibliography of the Commons","","Core candidate","Commons Projects","direct","specialist bibliography","operating at book date","2","1, 3","Ch. 1, pp. 22-23 | Ch. 3, pp. 69","http://dlc.dlib.indiana.edu/cpr/index.php","Comprehensive discovery bibliography hosted by the Digital Library of the Commons. | Searchable commons bibliography used to locate rules research.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-01-006 | UKC-03-022"
"PC-0062","Concurrent Versioning System","CVS","Support node","Supporting Ecosystem","enabler","version-control infrastructure","operating at book date","1","10","Ch. 10, pp. 287-288","","Archives versions, controls submissions, records changes, and operationalizes project rules.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-015"
"PC-0063","Conference on the Public Domain","","Support node","Supporting Ecosystem","enabler","conference","completed conference","1","0","Ch. 0, pp. ix","","Duke conference identified as one origin of the scholarly-commons workshop.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-002"
"PC-0064","Conservation Commons","","Core candidate","Commons Projects","direct","disciplinary knowledge commons","operating at book date","2","2, 4","Ch. 2, pp. 27 | Ch. 4, pp. 98, 119","http://www.conservationcommons.org","Builds a global public domain for environmental and conservation literature. | Conservation knowledge repository and commons.","STATUS_UNRESOLVED","OFFICIAL_REFERENCE_PAGE; CURRENT_OPERATIONS_UNCONFIRMED","https://iucn.org/content/conservation-commons","Multi-organization Conservation Commons initiative; IUCN was a participating member and signatory","IUCN retains an official page describing its membership and the Commons principles, but no current operating project portal was verified at the book-era domain.","2026-07-28","MEDIUM","https://iucn.org/content/conservation-commons | https://portals.iucn.org/library/sites/library/files/resrecfiles/WCC_2004_REC_85_EN.pdf | https://portals.iucn.org/library/sites/library/files/resrecfiles/WCC_2008_RES_12_EN.pdf","0","","","UKC-02-002 | UKC-04-043"
"PC-0065","Copyright Clearance Center","","Support node","Supporting Ecosystem","enabler","rights-clearance infrastructure","operating at book date","1","8","Ch. 8, pp. 222","","Collective licensing organization reducing transaction costs for copyright permissions.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-08-001"
"PC-0066","Corante's Many 2 Many","","Support node","Supporting Ecosystem","enabler","social-networking blog","operating at book date","1","2","Ch. 2, pp. 39","http://www.corante.com/many","Group blog discussing social software and networked participation.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-032"
"PC-0067","Cornell University Libraries","","Support node","Supporting Ecosystem","enabler","research-library repository steward","operating at book date","1","4","Ch. 4, pp. 98","","Maintains the arXiv e-print archive.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-037"
"PC-0068","Create Change","","Support node","Supporting Ecosystem","enabler","scholarly-communication campaign","operating at book date","1","4","Ch. 4, pp. 102, 113, 121","http://www.arl.org/create/resources/CreateChange2003.pdf","Public-relations campaign explaining the scholarly-communication crisis.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-070"
"PC-0069","Creative Commons","","Core candidate","Commons Projects","direct | enabler","licensing commons | open-content licensing organization","operating at book date","4","2, 3, 4, 10","Ch. 2, pp. 37, 40 | Ch. 3, pp. 52-53, 69 | Ch. 4, pp. 102-103, 121 | Ch. 10, pp. 291-295, 302, 304","http://www.creativecommons.org | http://creativecommons.org | http://creativecommons.org/","Licenses creative works for easier noncommercial sharing and distribution. | Flexible licensing service that uses private rights to create public goods. | Flexible rights licenses supporting public-domain dedication and public reuse. | Modular licenses for sharing music, art, video, text, and educational materials.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-027 | UKC-03-003 | UKC-04-072 | UKC-10-018"
"PC-0070","Creative Commons Attribution license","","Support node","Supporting Ecosystem","enabler","open-content license","operating at book date","1","7","Ch. 7, pp. 198","","License used by BMC, PLoS, and OA authors.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-006"
"PC-0071","Creative Commons Attribution-NonCommercial-NoDerivs license","","Support node","Supporting Ecosystem","enabler","open-content license","operating at book date","1","5","Ch. 5, pp. 140","http://creativecommons.org/licenses/by-nc-nd/2.5/","License used for open distribution of the chapter.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-05-022"
"PC-0072","Database of 127 common-pool irrigation systems in Nepal","","Core candidate","Commons Projects","direct","commons research database","operating at book date","1","9","Ch. 9, pp. 273","","Comparative dataset of self-governing irrigation systems.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-026"
"PC-0073","Declaration from Buenos Aires","","Support node","Supporting Ecosystem","enabler","open-access declaration","completed declaration","1","7","Ch. 7, pp. 206","","Public statement supporting scientific information access.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-033"
"PC-0074","Declaration of Havana","","Support node","Supporting Ecosystem","enabler","open-access declaration","completed declaration","1","7","Ch. 7, pp. 206","","Public statement supporting scientific information access.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-029"
"PC-0075","Declaration of San José","","Support node","Supporting Ecosystem","enabler","open-access declaration","completed declaration","1","7","Ch. 7, pp. 206","","Public statement supporting access to scientific information in developing countries.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-027"
"PC-0076","Declaration on Science and the Use of Scientific Knowledge","","Support node","Supporting Ecosystem","enabler","science-access declaration","completed declaration","1","7","Ch. 7, pp. 206","","Public statement supporting scientific knowledge access.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-028"
"PC-0077","del.icio.us","","Example candidate","Commons Projects","example","social-bookmarking platform","operating at book date","1","2","Ch. 2, pp. 36","","Platform for publicly shared web bookmarks.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-024"
"PC-0078","Democracy Collaborative","","Support node","Supporting Ecosystem","enabler","civic research and action organization","operating at book date","1","9","Ch. 9, pp. 268-269","http://www.democracycollaborative.org/publications/reports/","Organizational home for the Engaged University Initiative and electronic-commons work.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-011"
"PC-0079","Dialog","","Context / analogy","Concepts and Comparisons","analogy","commercial bibliographic database","historical operating system","1","4","Ch. 4, pp. 87","","Lockheed indexing system used to trace government-supported information privatization.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-001"
"PC-0080","Digital Consulting and Production Services","Cornell Digital Consulting and Production Services","Core candidate","Commons Projects","direct","library digital-production service","operating at book date","1","11","Ch. 11, pp. 322","","Cornell service bureau supplying digital production expertise and tools.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-019"
"PC-0081","Digital Library Federation","DLF","Support node","Supporting Ecosystem","enabler","digital-library federation","operating at book date","2","4, 11","Ch. 4, pp. 119 | Ch. 11, pp. 324, 329","","Federation documenting digital-library development and supporting preservation. | Coordinates digital-library capacity, partnerships, and federated governance.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-093 | UKC-11-030"
"PC-0082","Digital Library Federation Aquifer project","Aquifer Project | DLF Aquifer","Core candidate","Commons Projects","direct","federated digital-library project","operating at book date","1","11","Ch. 11, pp. 324-325, 330","http://www.diglib.org/aquifer/","Develops protocols and rules for repurposing rich digital masters across institutions.","ARCHIVED_READ_ONLY","HISTORICAL_ARCHIVED_SITE","https://old.diglib.org/aquifer/","Digital Library Federation","The Digital Library Federation preserves the project site and its 2006-2008 plans and products on its old-site domain; no current Aquifer operating service was verified.","2026-07-28","MEDIUM_HIGH","https://old.diglib.org/aquifer/ | https://old.diglib.org/aquifer/products.htm | https://old.diglib.org/aquifer/AquiferPlan06rev.pdf | https://lists.clir.org/cgi-bin/wa?A3=ind0809&B=--part-1MQC--loVe8F9-0-xG-0-sbAHpnXe-xfUONvAdIzmkFNH&E=base64&L=DLF-ANNOUNCE&N=AquiferProspectus.pdf&P=11280&T=APPLICATION%2FPDF%3B+name%3D%22AquiferProspectus.pdf%22","0","","","UKC-11-022"
"PC-0083","Digital Library of the Commons","DLC | Digital Library on the Commons | DLC","Core candidate","Commons Projects","direct","digital library and repository | epistemic repository | disciplinary digital library","operating at book date","5","0, 1, 2, 3, 4","Ch. 0, pp. ix | Ch. 1, pp. 23 | Ch. 2, pp. 31 | Ch. 3, pp. 59, 70 | Ch. 4, pp. 98, 119","http://dlc.dlib.indiana.edu | http://dlc.dlib.indiana.edu/","Combines preservation, self-publication, multimedia storage, and interdisciplinary commons reference. | Host library for the Comprehensive Bibliography of the Commons. | Digital commons library linked to the IASCP archives. | Staff-mediated interdisciplinary repository for commons scholarship. | Interdisciplinary commons research repository.","ACTIVE","ACTIVE","https://dlc.dlib.indiana.edu/","Indiana University Libraries and the Ostrom Workshop, Indiana University","The repository and its about page are online; Indiana University Libraries' 2026 guide describes it as a freely available gateway to commons literature.","2026-07-28","HIGH","https://dlc.dlib.indiana.edu/ | https://dlc.dlib.indiana.edu/dlc/info/aboutcommons.html | https://guides.libraries.indiana.edu/c.php?g=1045635&p=7587302 | https://ostromworkshop.indiana.edu/library/index.html","0","","","UKC-00-004 | UKC-01-007 | UKC-02-007 | UKC-03-021 | UKC-04-044"
"PC-0084","Digital Opportunity Investment Trust","DO IT","Core candidate","Commons Projects","direct","public digital-content trust","proposed at book date","1","4","Ch. 4, pp. 99-100, 120","","Proposed spectrum-funded trust for public-private digitization partnerships.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-059"
"PC-0085","Digital Promise Project","","Core candidate","Commons Projects","direct","digitization initiative","proposed at book date","1","4","Ch. 4, pp. 99","","Proposal to fund digitization of university, library, and museum content.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-058"
