"id","printed","normalized","host","nearbyProject","contextClassifications","occurrenceCount","printedPages","pdfPages","chapters","representativeText","extractionStatus","directoryDecision","currentResolutionStatus","currentUrl","editorialNotes"
"URL-0104","http://www.nyu.edu/president/faculty.enterprise/faculty-enterprise.pdf","http://www.nyu.edu/president/faculty.enterprise/faculty-enterprise.pdf","www.nyu.edu","New York University","article / report / publication","1","80","95","3 - A Framework for Analyzing the Knowledge Commons","Sexton, John. 2003. “The Role of Faculty in the Commons Enterprise Univer- sity.” Presented on the Occasion of the First Meeting of the Trustees Council on the Future of New York University, June 12, 2003. http://www.nyu.edu/ president/faculty.enterprise/faculty-enterprise.pdf. Shiva, Vandana. 1997. Biopiracy: The Plunder of Nature and Knowledge. Boston: South End Press.","Book-extracted","","","",""
"URL-0105","http://www.arl.org/arl/proceedings/133/shulenburger.html","http://www.arl.org/arl/proceedings/133/shulenburger.html","www.arl.org","Association of Research Libraries / SPARC","article / report / publication","1","80","95","3 - A Framework for Analyzing the Knowledge Commons","Shulenburger, David E. 1999. “Moving with Dispatch to Resolve the Scholarly Communication Crisis: From Here to NEAR.” ARL Newsletter, issue 202 (Feb- ruary). http://www.arl.org/arl/proceedings/133/shulenburger.html. Shulenburger, David E. 2001. “Principles for a New System of Publishing for Science.” In Proceedings of the Second UCSU/UNESCO International Confer-","Book-extracted","","","",""
"URL-0106","http://eos.wdcb.rssi.ru/eps2/eps02019/eps02019.pdf","http://eos.wdcb.rssi.ru/eps2/eps02019/eps02019.pdf","eos.wdcb.rssi.ru","World Data Center / Russian Space Science Internet","article / report / publication","1","80","95","3 - A Framework for Analyzing the Knowledge Commons","Science.” In Proceedings of the Second UCSU/UNESCO International Confer- ence on Electronic Publishing in Science, Paris, February 20–23, 2001. http://eos.wdcb.rssi.ru/eps2/eps02019/eps02019.pdf. Smith, A. T., and M. Eysenck. 2002. The Correlation between RAE Ratings and Citation Counts in Psychology. Technical Report, Psychology, University of","Book-extracted","","","",""
"URL-0107","http://cogprints.org/2749/","http://cogprints.org/2749/","cogprints.org","CogPrints","article / report / publication","1","80","95","3 - A Framework for Analyzing the Knowledge Commons","Smith, A. T., and M. Eysenck. 2002. The Correlation between RAE Ratings and Citation Counts in Psychology. Technical Report, Psychology, University of London, Royal Holloway. http://cogprints.org/2749/. Smith, P. 2001. “Indigenous Peoples and Forest Management in Canada.” In T. J. Rolfe, ed., The Nature and Culture of Forests: Implications of Diversity for","Book-extracted","","","",""
"URL-0108","http://www.earlham.edu/~peters/writing/jbiol.htm","http://www.earlham.edu/~peters/writing/jbiol.htm","www.earlham.edu","Peter Suber / Earlham College","repository / archive / digital library","1","80","95","3 - A Framework for Analyzing the Knowledge Commons","Studies, University of British Columbia. Suber, Peter. 2002. “Open Access to the Scientific Journal Literature.” Journal of Biology 1/1 (June): 3. http://www.earlham.edu/~peters/writing/jbiol.htm. Swan, Alma, and Sheridan Brown. 2005. “Open Access Self-Archiving: An Author Study.” Key Perspectives. http://eprints.ecs.soton.ac.uk/10999/.","Book-extracted","","","",""
"URL-0109","http://eprints.ecs.soton.ac.uk/10999/","http://eprints.ecs.soton.ac.uk/10999/","eprints.ecs.soton.ac.uk","University of Southampton / Stevan Harnad","repository / archive / digital library","1","80","95","3 - A Framework for Analyzing the Knowledge Commons","of Biology 1/1 (June): 3. http://www.earlham.edu/~peters/writing/jbiol.htm. Swan, Alma, and Sheridan Brown. 2005. “Open Access Self-Archiving: An Author Study.” Key Perspectives. http://eprints.ecs.soton.ac.uk/10999/. Swan, Alma, and Paul Needham. 2005. “Developing a Model for E-prints and Open Access Journal Content in UK Further and Higher Education.” Learned","Book-extracted","","","",""
"URL-0110","http://cogprints.org/4120/","http://cogprints.org/4120/","cogprints.org","CogPrints","article / report / publication","1","80","95","3 - A Framework for Analyzing the Knowledge Commons","Swan, Alma, and Paul Needham. 2005. “Developing a Model for E-prints and Open Access Journal Content in UK Further and Higher Education.” Learned Publishing 18(1). http://cogprints.org/4120/. Tabb, Winston. 2004. “Academic Libraries: New Directions, New Partners.” Presented at the Seventh International Bielefeld Conference, “Thinking beyond","Book-extracted","","","",""
"URL-0111","http://conference.ub.uni-bielefeld.de/proceedings/tabb.pdf","http://conference.ub.uni-bielefeld.de/proceedings/tabb.pdf","conference.ub.uni-bielefeld.de","Bielefeld University","article / report / publication","1","81","96","3 - A Framework for Analyzing the Knowledge Commons","Digital Libraries: Designing the Information Strategy for the Next Decade,” Bielefeld, Germany, February 4, 2004. http://conference.ub.uni-bielefeld.de/ proceedings/tabb.pdf. Testa, J., and M. E. McVeigh. 2004. “The Impact of Open Access Journals: A Citation Study from Thomson ISI.” http://www.isinet.com/media/presentrep/","Book-extracted","","","",""
"URL-0112","http://www.isinet.com/media/presentrep/acropdf/impact-oa-journals.pdf","http://www.isinet.com/media/presentrep/acropdf/impact-oa-journals.pdf","www.isinet.com","Thomson ISI","article / report / publication | license / intellectual-property resource","2","81, 205","96, 220","3 - A Framework for Analyzing the Knowledge Commons | 7 - Creating an Intellectual Commons through Open Access","proceedings/tabb.pdf. Testa, J., and M. E. McVeigh. 2004. “The Impact of Open Access Journals: A Citation Study from Thomson ISI.” http://www.isinet.com/media/presentrep/ acropdf/impact-oa-journals.pdf. Thorin, Suzanne. 2003. “Global Changes in Scholarly Communication.” Pre- sented at e-Workshops on Scholarly Communication in the Digital Era, Feng","Book-extracted","","","",""
"URL-0113","http://www.arl.org/scomm/disciplines/Thorin.pdf","http://www.arl.org/scomm/disciplines/Thorin.pdf","www.arl.org","Association of Research Libraries / SPARC","article / report / publication","1","81","96","3 - A Framework for Analyzing the Knowledge Commons","Thorin, Suzanne. 2003. “Global Changes in Scholarly Communication.” Pre- sented at e-Workshops on Scholarly Communication in the Digital Era, Feng Chia University, Taichung, Taiwan, August 11–24, 2003. http://www.arl.org/ scomm/disciplines/Thorin.pdf. Turner, Roy M. 1993. “The Tragedy of the Commons and Distributed AI Systems.” Presented at the Twelfth International Workshop on Distributed Arti-","Book-extracted","","","",""
"URL-0114","http://www.clir.org/pubs/reports/pub107/contents.html","http://www.clir.org/pubs/reports/pub107/contents.html","www.clir.org","Council on Library and Information Resources","repository / archive / digital library","1","81","96","3 - A Framework for Analyzing the Knowledge Commons","Waters, Donald. 2002. “Good Archives Make Good Scholars: Reflections on Recent Steps Toward the Archiving of Digital Information.” Council on Library and Information Resources (CLIR). http://www.clir.org/pubs/reports/pub107/ contents.html. Weber, Steven. 2004. The Success of Open Source. Cambridge, MA: Harvard University Press.","Book-extracted","","","",""
"URL-0115","ArXiv.org","ArXiv.org","arxiv.org","arXiv","repository / archive / digital library","5","98, 353, 356","113, 368, 371","4 - Countering Enclosure: Reclaiming the Knowledge Commons | Index","Like universities, academic disciplines have also created a rich array of digital repositories. The first, the Los Alamos ArXiv.org, begun in 1991 by physicist Paul Ginsparg, provides low-cost access to scientific research papers in physics and related fields before peer review and sub-","Book-extracted","","","",""
"URL-0116","arXiv.org","arXiv.org","arxiv.org","arXiv","repository / archive / digital library","2","110, 353","125, 368","4 - Countering Enclosure: Reclaiming the Knowledge Commons | Index","evolve, we need to learn how to avoid the tragedy of the commons by studying viable governance, management, and financial structures. We need to conduct case studies of mature projects like arXiv.org so we can learn best practices, apply them to other projects, and inform the dis- course about commons. Likewise, we need to monitor and evaluate the","Book-extracted","","","",""
"URL-0117","info-commons.org","info-commons.org","info-commons.org","Info-Commons / American Library Association","media","1","112","127","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Finally, it is important to recognize that building information commons does not mean a total rejection of the for-profit media indus- try. As Frederick Emrich, the editor of the info-commons.org website, points out: “Commercial uses of information serve a vital role in ensur- ing that new ideas are produced. So long as commercial uses of infor-","Book-extracted","","","",""
"URL-0118","http://support.dialog.com/publications/chronolog/200206/1020628.shtml","http://support.dialog.com/publications/chronolog/200206/1020628.shtml","support.dialog.com","support.dialog.com","conference / workshop / event","1","113","128","4 - Countering Enclosure: Reclaiming the Knowledge Commons","3. Roger Summit, “Reflections on the Beginnings of Dialog: The Birth of Online Information Access,” Dialog Corporation History (June 2002), http://support .dialog.com/publications/chronolog/200206/1020628.shtml; see also Christine Borgman, From Gutenberg to the Global Information Infrastructure: Access to Information in the Networked World (Cambridge, MA: MIT Press, 2000).","Book-extracted","","","",""
"URL-0119","http://www.brown.edu/Administration/George_Street_Journal/vol24/24GSJ19c.html","http://www.brown.edu/Administration/George_Street_Journal/vol24/24GSJ19c.html","www.brown.edu","Brown University","article / report / publication","1","113","128","4 - Countering Enclosure: Reclaiming the Knowledge Commons","7. Scott J. Turner, “Library Sees Red over Rising Journal Prices: Dangling Red Tags Are Marking Periodicals That Have One-Year Subscription Rates of $1,000 or Higher,” George Street Journal 24 (March 10–16, 2000), http:// www.brown.edu/Administration/George_Street_Journal/vol24/24GSJ19c.html; Lee Van Orsdel and Kathleen Born, “Big Chill on the Big Deal?”, Library Journal, 128/7 (April 15, 2003): 51–56, http://www.libraryjournal.com/","Book-extracted","","","",""
"URL-0120","http://www.libraryjournal.com/index.asp?layout=article&articleid=CA289187&publication=libraryjournal","http://www.libraryjournal.com/index.asp?layout=article&articleid=CA289187&publication=libraryjournal","www.libraryjournal.com","Library Journal","license / intellectual-property resource","1","113","128","4 - Countering Enclosure: Reclaiming the Knowledge Commons","www.brown.edu/Administration/George_Street_Journal/vol24/24GSJ19c.html; Lee Van Orsdel and Kathleen Born, “Big Chill on the Big Deal?”, Library Journal, 128/7 (April 15, 2003): 51–56, http://www.libraryjournal.com/ index.asp?layout=article&articleid=CA289187&publication=libraryjournal. 8. Carl T. Bergstrom and Theodore C. Bergstrom, “The Costs and Benefits of Library Site Licenses to Academic Journals,” Proceedings of the National","Book-extracted","","","",""
"URL-0121","http://www.arl.org/create/resources/CreateChange2003.pdf","http://www.arl.org/create/resources/CreateChange2003.pdf","www.arl.org","Association of Research Libraries / SPARC","article / report / publication","2","113, 121","128, 136","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Libraries, SPARC, Create Change: New Systems of Scholarly Communication (Washington, DC: Association of Research Libraries, October 2003), http://www.arl.org/create/resources/CreateChange2003.pdf. 10. For more details about the impact of these developments, see Brian Hawkins and Patricia Battin, The Mirage of Continuity: Reconfiguring Academic Infor-","Book-extracted","","","",""
"URL-0122","http://www.arl.org/scomm/Thorin.pdf","http://www.arl.org/scomm/Thorin.pdf","www.arl.org","Association of Research Libraries / SPARC","initiative / declaration / policy","1","113","128","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Suzanne Thorin, “Global Changes in Scholarly Communication,” paper pre- sented at e-Workshops on Scholarly Communication in the Digital Era, Feng Chia University, Taichung, Taiwan, August 11–24, 2003, http://www.arl.org/ scomm/Thorin.pdf; Information Access Alliance, Publisher Mergers Threaten Access to Scientific, Medical, and Research Information (Washington, DC: Infor- mation Access Alliance, 2003), http://www.arl.org/scomm/mergers/background","Book-extracted","","","",""
"URL-0123","http://www.arl.org/scomm/mergers/background_info.pdf","http://www.arl.org/scomm/mergers/background_info.pdf","www.arl.org","Association of Research Libraries / SPARC","initiative / declaration / policy","1","113","128","4 - Countering Enclosure: Reclaiming the Knowledge Commons","scomm/Thorin.pdf; Information Access Alliance, Publisher Mergers Threaten Access to Scientific, Medical, and Research Information (Washington, DC: Infor- mation Access Alliance, 2003), http://www.arl.org/scomm/mergers/background _info.pdf. Countering Enclosure 113","Book-extracted","","","",""
"URL-0124","http://www.dlib.org/dlib/september99/okerson/09okerson.html","http://www.dlib.org/dlib/september99/okerson/09okerson.html","www.dlib.org","D-Lib Magazine","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","11. Ann Okerson, “The LIBLICENSE Project and How it Grows,” D-Lib Mag- azine, 5/9 (September 1999), http://www.dlib.org/dlib/september99/okerson/ 09okerson.html; Yale University Libraries and the Council on Library Resources, Liblicense, website for resources about library licenses, http://www.library .yale.edu/~llicense/index.shtml; AFFECT: Americans for Fair Electronic Com-","Book-extracted","","","",""
"URL-0125","http://www.library.yale.edu/~llicense/index.shtml","http://www.library.yale.edu/~llicense/index.shtml","www.library.yale.edu","Liblicense / Yale University Library","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","azine, 5/9 (September 1999), http://www.dlib.org/dlib/september99/okerson/ 09okerson.html; Yale University Libraries and the Council on Library Resources, Liblicense, website for resources about library licenses, http://www.library .yale.edu/~llicense/index.shtml; AFFECT: Americans for Fair Electronic Com- merce Transactions, “Why We Oppose UCITA,” http://www.affect.ucita.com/ why.html.","Book-extracted","","","",""
"URL-0126","http://www.affect.ucita.com/why.html","http://www.affect.ucita.com/why.html","www.affect.ucita.com","AFFECT / UCITA","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Liblicense, website for resources about library licenses, http://www.library .yale.edu/~llicense/index.shtml; AFFECT: Americans for Fair Electronic Com- merce Transactions, “Why We Oppose UCITA,” http://www.affect.ucita.com/ why.html. 12. Brian Kahin, “Scholarly Communication in the Networked Environment: Issues of Principle, Policy, and Practice,” in Robin P. Peek and Gregory B. Newby,","Book-extracted","","","",""
"URL-0127","http://hraunfoss.fcc.gov/edocs_public/attachmatch/FCC-03-273A1.pdf","http://hraunfoss.fcc.gov/edocs_public/attachmatch/FCC-03-273A1.pdf","hraunfoss.fcc.gov","Federal Communications Commission","article / report / publication","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","16. “Report and Order and Further Notice of Proposed Rulemaking,” In the Matter of: Digital Broadcast Content Protection, MB Docket 02-230, Novem- ber 4, 2003, http://hraunfoss.fcc.gov/edocs_public/attachmatch/FCC-03-273A1 .pdf. In March 2004, the American Library Association and Public Knowledge filed suit challenging the FCC's authority to issue these regulations. See Ameri- can Library Association v. FCC, No. 04-1037 (D.C. Cir., filed March 3, 2004).","Book-extracted","","","",""
"URL-0128","http://www.cdt.org/copyright/031216broadcastflag.pdf","http://www.cdt.org/copyright/031216broadcastflag.pdf","www.cdt.org","Center for Democracy & Technology","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","nology, Implications of the Broadcast Flag: A Public Interest Primer (version 2.0) (Washington, DC: Center for Democracy and Technology, December 2003), http://www.cdt.org/copyright/031216broadcastflag.pdf; Public Knowledge,","Book-extracted","","","",""
"URL-0129","http://www.publicknowledge.org/issues/current-issues/issue-broadcast-flag/","http://www.publicknowledge.org/issues/current-issues/issue-broadcast-flag/","www.publicknowledge.org","Public Knowledge","article / report / publication","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Broadcast Flag, http://www.publicknowledge.org/issues/current-issues/issue -broadcast-flag/. 17. Eldred v. Ashcroft, 123 S.Ct. 769 (2003), http://www.supremecourtus.gov/ opinions/02pdf/01-618.pdf. Documents filed in the case are available at","Book-extracted","","","",""
"URL-0130","http://www.supremecourtus.gov/opinions/02pdf/01-618.pdf","http://www.supremecourtus.gov/opinions/02pdf/01-618.pdf","www.supremecourtus.gov","Supreme Court of the United States","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","http://www.publicknowledge.org/issues/current-issues/issue -broadcast-flag/. 17. Eldred v. Ashcroft, 123 S.Ct. 769 (2003), http://www.supremecourtus.gov/ opinions/02pdf/01-618.pdf. Documents filed in the case are available at http://eldred.cc/; for additional background, see Marjorie Heins, “The Progress of Science and Useful Arts”: Why Copyright Today Threatens Intellectual","Book-extracted","","","",""
"URL-0131","http://eldred.cc/","http://eldred.cc/","eldred.cc","Eldred v. Ashcroft campaign","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","17. Eldred v. Ashcroft, 123 S.Ct. 769 (2003), http://www.supremecourtus.gov/ opinions/02pdf/01-618.pdf. Documents filed in the case are available at http://eldred.cc/; for additional background, see Marjorie Heins, “The Progress of Science and Useful Arts”: Why Copyright Today Threatens Intellectual Freedom (New York: Free Expression Policy Project, 2003), 15–23; American","Book-extracted","","","",""
"URL-0132","http://www.ala.org/Template.cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay.cfm&ContentID=20264","http://www.ala.org/Template.cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay.cfm&ContentID=20264","www.ala.org","American Library Association","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","of Science and Useful Arts”: Why Copyright Today Threatens Intellectual Freedom (New York: Free Expression Policy Project, 2003), 15–23; American Library Association, Eldred v. Ashcroft website, http://www.ala.org/Template .cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay .cfm&ContentID=20264; Open Law, Eldred v. Ashcroft website, http://cyber .law.harvard.edu/openlaw/eldredvashcroft/; “Eldred v. Ashcroft,” Wikipedia, http://en.wikipedia.org/wiki/Eldred_v._Reno.","Book-extracted","","","",""
"URL-0133","http://cyber.law.harvard.edu/openlaw/eldredvashcroft/","http://cyber.law.harvard.edu/openlaw/eldredvashcroft/","cyber.law.harvard.edu","Berkman Center / Harvard Law School","license / intellectual-property resource","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Library Association, Eldred v. Ashcroft website, http://www.ala.org/Template .cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay .cfm&ContentID=20264; Open Law, Eldred v. Ashcroft website, http://cyber .law.harvard.edu/openlaw/eldredvashcroft/; “Eldred v. Ashcroft,” Wikipedia, http://en.wikipedia.org/wiki/Eldred_v._Reno. 18. A & M Records v. Napster, 239 F.3d 1004 (9th Cir. 2001); Metro-Goldwyn-","Book-extracted","","","",""
"URL-0134","http://en.wikipedia.org/wiki/Eldred_v._Reno","http://en.wikipedia.org/wiki/Eldred_v._Reno","en.wikipedia.org","Wikipedia","law / court / government record","1","114","129","4 - Countering Enclosure: Reclaiming the Knowledge Commons",".cfm&ContentID=20264; Open Law, Eldred v. Ashcroft website, http://cyber .law.harvard.edu/openlaw/eldredvashcroft/; “Eldred v. Ashcroft,” Wikipedia, http://en.wikipedia.org/wiki/Eldred_v._Reno. 18. A & M Records v. Napster, 239 F.3d 1004 (9th Cir. 2001); Metro-Goldwyn- Mayer Studios v. Grokster, U.S. Supreme Court, No. 04-480, Syllabus and","Book-extracted","","","",""
"URL-0135","http://www.supremecourtus.gov/opinions/02pdf/02-361.pdf","http://www.supremecourtus.gov/opinions/02pdf/02-361.pdf","www.supremecourtus.gov","Supreme Court of the United States","article / report / publication","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","19. For more information about filters and CIPA, see U.S. Supreme Court, United States et al. v. American Library Association, et al., No. 02-361, Syllabus and Opinion of the Court, 2003, http://www.supremecourtus.gov/opinions/ 02pdf/02-361.pdf; National Research Council, Tools and Strategies for Protect- ing Kids from Pornography and Their Applicability to Other Inappropriate Internet Content","Book-extracted","","","",""
"URL-0136","http://books.nap.edu/html/youth_internet/","http://books.nap.edu/html/youth_internet/","books.nap.edu","National Academies Press","article / report / publication","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Internet Content (Washington, DC: National Research Council, 2001), http://books.nap.edu/html/youth_internet/; U.S. Children's Online Protection Act Commission, Final Report of the COPA Commission Presented to Congress, October 20, 2000 (Washington, DC: Government Printing Office, 2000),","Book-extracted","","","",""
"URL-0137","http://www.copacommission.org/report/","http://www.copacommission.org/report/","www.copacommission.org","Commission on Online Child Protection","article / report / publication","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Commission, Final Report of the COPA Commission Presented to Congress, October 20, 2000 (Washington, DC: Government Printing Office, 2000), http://www.copacommission.org/report/; U.S. District Court for Eastern Penn- sylvania, American Library Association v. the United States et al. No. 01-1303: Opinion of the Court, Philadelphia, May 31, 2002, http://www.ala.org/ala/","Book-extracted","","","",""
"URL-0138","http://www.ala.org/ala/washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf","http://www.ala.org/ala/washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf","www.ala.org","American Library Association","article / report / publication","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","http://www.copacommission.org/report/; U.S. District Court for Eastern Penn- sylvania, American Library Association v. the United States et al. No. 01-1303: Opinion of the Court, Philadelphia, May 31, 2002, http://www.ala.org/ala/ washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf; American Library Association, “CIPA,” website, http://www.ala.org/cipa.","Book-extracted","","","",""
"URL-0139","http://www.ala.org/cipa","http://www.ala.org/cipa","www.ala.org","American Library Association","article / report / publication","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf; American Library Association, “CIPA,” website, http://www.ala.org/cipa. 20. Nancy Kranich, “Government Information: Less Is Dangerous,” Thought and Action: The NEA Higher Education Journal 4 (spring 1988): 37–48.","Book-extracted","","","",""
"URL-0140","http://www.fepproject.org/commentaries/patriotact.html","http://www.fepproject.org/commentaries/patriotact.html","www.fepproject.org","Free Expression Policy Project","repository / archive / digital library","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","and Action: The NEA Higher Education Journal 4 (spring 1988): 37–48. 21. Nancy Kranich, The Impact of the USA PATRIOT Act on Free Expression (New York: Free Expression Policy Project, May 2003), http://www .fepproject.org/commentaries/patriotact.html; “Update” (August 27, 2003), http://www.fepproject.org/commentaries/patriotactupdate.html. 22. National Security Archive, The Ashcroft Memo: “Drastic” Change or “More","Book-extracted","","","",""
"URL-0141","http://www.fepproject.org/commentaries/patriotactupdate.html","http://www.fepproject.org/commentaries/patriotactupdate.html","www.fepproject.org","Free Expression Policy Project","repository / archive / digital library","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","(New York: Free Expression Policy Project, May 2003), http://www .fepproject.org/commentaries/patriotact.html; “Update” (August 27, 2003), http://www.fepproject.org/commentaries/patriotactupdate.html. 22. National Security Archive, The Ashcroft Memo: “Drastic” Change or “More Thunder Than Lightning”? (Washington, DC: National Security Archive, 2003),","Book-extracted","","","",""
"URL-0142","http://www.gwu.edu/%7Ensarchiv/NSAEBB/NSAEBB84/index.html","http://www.gwu.edu/%7Ensarchiv/NSAEBB/NSAEBB84/index.html","www.gwu.edu","National Security Archive / George Washington University","repository / archive / digital library","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","22. National Security Archive, The Ashcroft Memo: “Drastic” Change or “More Thunder Than Lightning”? (Washington, DC: National Security Archive, 2003), http://www.gwu.edu/%7Ensarchiv/NSAEBB/NSAEBB84/index.html. 23. Information Security Oversight Office, Report to the President, 2004, U.S. National Archives and Records Administration, Information Oversight Office,","Book-extracted","","","",""
"URL-0143","http://www.archives.gov/isoo/reports/2004-annual-report.html#10","http://www.archives.gov/isoo/reports/2004-annual-report.html#10","www.archives.gov","U.S. National Archives and Records Administration","repository / archive / digital library","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","23. Information Security Oversight Office, Report to the President, 2004, U.S. National Archives and Records Administration, Information Oversight Office, 2005, http://www.archives.gov/isoo/reports/2004-annual-report.html#10. 24. Andrew Card, “Memorandum for Heads of Departments and Agencies: Action to Safeguard Information Regarding Weapons of Mass Destruction and","Book-extracted","","","",""
"URL-0144","http://www.usdoj.gov/oip/foiapost/2002foiapost10.htm","http://www.usdoj.gov/oip/foiapost/2002foiapost10.htm","www.usdoj.gov","U.S. Department of Justice","law / court / government record","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Action to Safeguard Information Regarding Weapons of Mass Destruction and Other Sensitive Documents Related to Homeland Security,” (Washington, DC: U.S. Office of the President, March 21, 2002), http://www.usdoj.gov/oip/ foiapost/2002foiapost10.htm. 25. American Library Association, Washington Office, Sensitive Homeland Security Information (Washington, DC: American Library Association, 2003),","Book-extracted","","","",""
"URL-0145","http://www.ala.org/Template.cfm?Section=governmentinfo&Template=/ContentManagement/ContentDisplay.cfm&ContentID=80795#shsi","http://www.ala.org/Template.cfm?Section=governmentinfo&Template=/ContentManagement/ContentDisplay.cfm&ContentID=80795#shsi","www.ala.org","American Library Association","law / court / government record","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","25. American Library Association, Washington Office, Sensitive Homeland Security Information (Washington, DC: American Library Association, 2003), http://www.ala.org/Template.cfm?Section=governmentinfo&Template=/ ContentManagement/ContentDisplay.cfm&ContentID=80795#shsi. 26. American Library Association, Washington Office, “Executive Order 13233, November 1, 2001, Further Implementation of the Presidential Records Act,”","Book-extracted","","","",""
"URL-0146","http://www.ala.org/ala/washoff/WOissues/governmentinfo/laadmin.htm#exec","http://www.ala.org/ala/washoff/WOissues/governmentinfo/laadmin.htm#exec","www.ala.org","American Library Association","article / report / publication","1","115","130","4 - Countering Enclosure: Reclaiming the Knowledge Commons","26. American Library Association, Washington Office, “Executive Order 13233, November 1, 2001, Further Implementation of the Presidential Records Act,” http://www.ala.org/ala/washoff/WOissues/governmentinfo/laadmin.htm#exec. 27. “Statement on Scientific Publication and Security—January 2003,” Science 299/5610 (February 21, 2003): 1149.","Book-extracted","","","",""
"URL-0147","http://www.aaup.org/statements/REPORTS/Post9-11.pdf","http://www.aaup.org/statements/REPORTS/Post9-11.pdf","www.aaup.org","American Association of University Professors","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","National Security in a Time of Crisis, “Report of an AAUP Special Committee,” Academe: Bulletin of the American Association of University Professors 89/6 (November–December 2003), http://www.aaup.org/statements/REPORTS/Post9 -11.pdf; National Research Council (NRC), Committee on Research Standards and Practices to Prevent the Destructive Application of Biotechnology, Biotech- nology Research in an Age of Terrorism (Washington, DC: National Academies","Book-extracted","","","",""
"URL-0148","http://www.pewinternet.org/pdfs/PIP_Digital_Divisions_Oct_5_2005.pdf","http://www.pewinternet.org/pdfs/PIP_Digital_Divisions_Oct_5_2005.pdf","www.pewinternet.org","Pew Internet & American Life Project","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","5, 2005), http://www.pewinternet.org/pdfs/PIP_Digital_Divisions _Oct_5_2005.pdf; Robert W. Fairlie, Are We Really a Nation Online? Ethnic and Racial Disparities in Access to Technology and Their Consequences (Washington, DC: Leadership Conference on Civil Rights Education Fund,","Book-extracted","","","",""
"URL-0149","http://www.civilrights.org/issues/communication/digitaldivide.pdf","http://www.civilrights.org/issues/communication/digitaldivide.pdf","www.civilrights.org","Leadership Conference on Civil and Human Rights","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","20, 2005), http://www.civilrights.org/issues/communication/ digitaldivide.pdf. 31. Jeffrey Young, “Technology Gap among Colleges Perpetuates ‘Digital Divide' in Society, Expert Warns: Logging in with Larry Irving,” Chronicle of","Book-extracted","","","",""
"URL-0150","http://chronicle.com/free/2002/06/2002060402t.htm","http://chronicle.com/free/2002/06/2002060402t.htm","chronicle.com","Chronicle of Higher Education","article / report / publication","1","116","131","4 - Countering Enclosure: Reclaiming the Knowledge Commons","4, 2002), http://chronicle.com/free/2002/06/ 2002060402t.htm. 32. Eszter Hargittai, “Second-Level Digital Divide: Differences in People's Online Skills,” First Monday, 7/4 (April 2002), http://firstmonday.org/issues/","Book-extracted","","","",""
